category,location_type,context,persistent_id,id,location_subtype,month,latitude,location.street.id,street_name,longitude,outcome_status_category,outcome_status_date
anti-social-behaviour,Force,,,130066740,,2025-07,52.621857,1737629,On or near Quainton Road,-1.146029,unknown,unknown
anti-social-behaviour,Force,,,130066726,,2025-07,52.627798,1737705,On or near Tarragon Road,-1.144613,unknown,unknown
anti-social-behaviour,Force,,,130066724,,2025-07,52.627798,1737705,On or near Tarragon Road,-1.144613,unknown,unknown
anti-social-behaviour,Force,,,130067358,,2025-07,52.628462,1738792,On or near De Montfort Square,-1.126029,unknown,unknown
anti-social-behaviour,Force,,,130067331,,2025-07,52.636041,1738351,On or near East Gates,-1.133444,unknown,unknown
anti-social-behaviour,Force,,,130067314,,2025-07,52.631767,1738612,On or near Dover Street,-1.129155,unknown,unknown
anti-social-behaviour,Force,,,130066293,,2025-07,52.635488,1738121,On or near Carts Lane,-1.136395,unknown,unknown
anti-social-behaviour,Force,,,130067262,,2025-07,52.631767,1738612,On or near Dover Street,-1.129155,unknown,unknown
anti-social-behaviour,Force,,,130067257,,2025-07,52.632318,1738584,On or near York Street,-1.129483,unknown,unknown
anti-social-behaviour,Force,,,130067253,,2025-07,52.632318,1738584,On or near York Street,-1.129483,unknown,unknown
anti-social-behaviour,Force,,,130066295,,2025-07,52.642049,1738480,On or near Navigation Street,-1.131256,unknown,unknown
anti-social-behaviour,Force,,,130067223,,2025-07,52.625937,1739392,On or near Tennyson Street,-1.112783,unknown,unknown
anti-social-behaviour,Force,,,130066297,,2025-07,52.634849,1738676,On or near Rutland Street,-1.127749,unknown,unknown
anti-social-behaviour,Force,,,130067216,,2025-07,52.631238,1739086,On or near Sparkenhoe Street,-1.119635,unknown,unknown
anti-social-behaviour,Force,,,130067199,,2025-07,52.631238,1739086,On or near Sparkenhoe Street,-1.119635,unknown,unknown
anti-social-behaviour,Force,,,130066303,,2025-07,52.627798,1737705,On or near Tarragon Road,-1.144613,unknown,unknown
anti-social-behaviour,Force,,,130066314,,2025-07,52.635555,1738528,On or near Yeoman Lane,-1.129626,unknown,unknown
anti-social-behaviour,Force,,,130067187,,2025-07,52.625259,1737613,On or near Supermarket,-1.146539,unknown,unknown
anti-social-behaviour,Force,,,130067183,,2025-07,52.627798,1737705,On or near Tarragon Road,-1.144613,unknown,unknown
anti-social-behaviour,Force,,,130067175,,2025-07,52.638533,1738143,On or near Darker Street,-1.136054,unknown,unknown
anti-social-behaviour,Force,,,130067172,,2025-07,52.639138,1738822,On or near St Matthews Way,-1.125417,unknown,unknown
anti-social-behaviour,Force,,,130067146,,2025-07,52.637627,1738668,On or near Eldon Street,-1.127782,unknown,unknown
anti-social-behaviour,Force,,,130067130,,2025-07,52.634675,1737865,On or near St Nicholas Circle,-1.140859,unknown,unknown
anti-social-behaviour,Force,,,130067102,,2025-07,52.632743,1737208,On or near Stretton Road,-1.153471,unknown,unknown
anti-social-behaviour,Force,,,130067088,,2025-07,52.633297,1739224,On or near Pluto Close,-1.116121,unknown,unknown
anti-social-behaviour,Force,,,130067078,,2025-07,52.637843,1738541,On or near Shopping Area,-1.130275,unknown,unknown
anti-social-behaviour,Force,,,130067066,,2025-07,52.629134,1738570,On or near Museum Square,-1.129281,unknown,unknown
anti-social-behaviour,Force,,,130067028,,2025-07,52.631193,1738645,On or near Calais Hill,-1.128220,unknown,unknown
anti-social-behaviour,Force,,,130067017,,2025-07,52.638358,1738578,On or near Parking Area,-1.129437,unknown,unknown
anti-social-behaviour,Force,,,130067008,,2025-07,52.636175,1738848,On or near Burton Street,-1.124737,unknown,unknown
anti-social-behaviour,Force,,,130066999,,2025-07,52.637843,1738541,On or near Shopping Area,-1.130275,unknown,unknown
anti-social-behaviour,Force,,,130066997,,2025-07,52.639316,1738483,On or near Nightclub,-1.131354,unknown,unknown
anti-social-behaviour,Force,,,130066995,,2025-07,52.635486,1738632,On or near Yeoman Street,-1.128741,unknown,unknown
anti-social-behaviour,Force,,,130066992,,2025-07,52.629734,1738975,On or near Brookhouse Avenue,-1.121660,unknown,unknown
anti-social-behaviour,Force,,,130066979,,2025-07,52.632743,1737208,On or near Stretton Road,-1.153471,unknown,unknown
anti-social-behaviour,Force,,,130066321,,2025-07,52.633053,1738548,On or near Granby Street,-1.129306,unknown,unknown
anti-social-behaviour,Force,,,130066960,,2025-07,52.635078,1737968,On or near St Nicholas Place,-1.139462,unknown,unknown
anti-social-behaviour,Force,,,130066897,,2025-07,52.632588,1737406,On or near Andrewes Street,-1.149351,unknown,unknown
anti-social-behaviour,Force,,,130066893,,2025-07,52.639052,1738044,On or near Burgess Street,-1.138290,unknown,unknown
anti-social-behaviour,Force,,,130066882,,2025-07,52.637134,1737219,On or near Tyrrell Street,-1.151524,unknown,unknown
anti-social-behaviour,Force,,,130066880,,2025-07,52.635555,1738528,On or near Yeoman Lane,-1.129626,unknown,unknown
anti-social-behaviour,Force,,,130066869,,2025-07,52.639052,1738044,On or near Burgess Street,-1.138290,unknown,unknown
anti-social-behaviour,Force,,,130066850,,2025-07,52.629337,1739119,On or near Severn Street,-1.117944,unknown,unknown
anti-social-behaviour,Force,,,130066843,,2025-07,52.629831,1738423,On or near Marquis Street,-1.132503,unknown,unknown
anti-social-behaviour,Force,,,130066833,,2025-07,52.643222,1738911,On or near Willow Street,-1.123370,unknown,unknown
anti-social-behaviour,Force,,,130066806,,2025-07,52.631302,1738955,On or near Lincoln Street,-1.120978,unknown,unknown
anti-social-behaviour,Force,,,130066787,,2025-07,52.634409,1738338,On or near Shopping Area,-1.133652,unknown,unknown
anti-social-behaviour,Force,,,130066783,,2025-07,52.632052,1737636,On or near Supermarket,-1.146096,unknown,unknown
anti-social-behaviour,Force,,,130066323,,2025-07,52.620491,1738051,On or near Sports/recreation Area,-1.138014,unknown,unknown
anti-social-behaviour,Force,,,130066781,,2025-07,52.626599,1739469,On or near Evington Place,-1.111189,unknown,unknown
anti-social-behaviour,Force,,,130066772,,2025-07,52.631810,1738946,On or near Slate Street,-1.122830,unknown,unknown
anti-social-behaviour,Force,,,130066767,,2025-07,52.636041,1738351,On or near East Gates,-1.133444,unknown,unknown
anti-social-behaviour,Force,,,130066738,,2025-07,52.621991,1737463,On or near Blue Fox Close,-1.149705,unknown,unknown
anti-social-behaviour,Force,,,130066718,,2025-07,52.627455,1739118,On or near Mill Hill Lane,-1.118736,unknown,unknown
anti-social-behaviour,Force,,,130066687,,2025-07,52.633318,1738276,On or near Nightclub,-1.134798,unknown,unknown
anti-social-behaviour,Force,,,130066681,,2025-07,52.634787,1737952,On or near Parking Area,-1.139010,unknown,unknown
anti-social-behaviour,Force,,,130066673,,2025-07,52.630693,1738552,On or near Wellington Street,-1.129885,unknown,unknown
anti-social-behaviour,Force,,,130066665,,2025-07,52.621765,1739330,On or near Victoria Gardens,-1.113946,unknown,unknown
anti-social-behaviour,Force,,,130066652,,2025-07,52.620909,1739111,On or near St Marys Road,-1.116031,unknown,unknown
anti-social-behaviour,Force,,,130066650,,2025-07,52.633318,1738276,On or near Nightclub,-1.134798,unknown,unknown
anti-social-behaviour,Force,,,130066647,,2025-07,52.639052,1738044,On or near Burgess Street,-1.138290,unknown,unknown
anti-social-behaviour,Force,,,130066639,,2025-07,52.625937,1739392,On or near Tennyson Street,-1.112783,unknown,unknown
anti-social-behaviour,Force,,,130066631,,2025-07,52.631624,1738751,On or near Station Street,-1.125641,unknown,unknown
